feature_id,feature_name,product_area,primary_device,service_tier,business_owner,launch_stage,active_accounts,qualified_start_rate,avg_watch_minutes,conversion_rate,day7_retention_rate,playback_start_ms,rebuffer_rate,data_quality_score,experiment_lift_pct,confidence_score,priority_score,next_move
F002,Personalized Top Picks,Home,Connected TV,SVOD,ML Product,experiment,62150,0.567,30.1,0.2086,0.2589,860,0.013,87.8,3.2,98.0,1998.9,add to roadmap review
F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Growth,experiment,34738,0.5702,30.1,0.2091,0.2597,660,0.0169,90.2,2.53,98.0,925.6,ship with monitoring
F001,Continue Watching Rail,Home,Connected TV,SVOD,Product,launched,62046,0.5691,30.0,0.2091,0.2598,849,0.013,87.9,1.28,63.3,904.5,add to roadmap review
F004,Sports Live Hub,Live,Connected TV,Ad Supported,Live Product,beta,57823,0.5566,30.4,0.2108,0.2579,872,0.0136,84.8,1.13,61.0,765.9,add to roadmap review
F008,Search Intent Rewrite,Search,Web,SVOD,Search,experiment,20625,0.5714,30.3,0.2087,0.2607,613,0.011,80.1,3.08,98.0,666.0,iterate experiment
F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Ads Product,experiment,40714,0.5638,29.9,0.2081,0.2596,855,0.0136,83.0,1.24,98.0,601.8,add to roadmap review
F011,New Episode Reminder,Notifications,Mobile,SVOD,Lifecycle,launched,26738,0.5783,30.1,0.2085,0.2585,655,0.0168,88.3,1.53,98.0,481.1,iterate experiment
F009,Household Switcher,Profiles,Connected TV,SVOD,Identity,beta,37517,0.5668,30.2,0.2099,0.258,856,0.0128,89.4,1.0,64.4,463.8,add to roadmap review
F006,Offline Downloads,Playback,Mobile,SVOD,Playback,launched,36613,0.5759,30.2,0.21,0.2598,659,0.0169,92.7,0.72,66.7,361.9,add to roadmap review
F012,FAST Channel Guide,Live,Web,Ad Supported,Live Product,experiment,33486,0.5711,30.5,0.2114,0.2575,610,0.0112,88.9,0.56,64.0,287.6,add to roadmap review
F005,Kids Profile Gate,Profiles,Tablet,SVOD,Trust,launched,24187,0.5658,30.1,0.2083,0.2596,716,0.0151,85.0,0.72,61.2,246.1,add to roadmap review
F010,Watch Party Invite,Social,Mobile,SVOD,Growth,concept,19374,0.571,30.3,0.2082,0.2594,655,0.0172,94.7,0.67,68.2,197.1,add to roadmap review
